,tweets,cleaned_tweets
11,"Ted Cruz. You went to Harvard Law. Are we in a Color Revolution designed by Norm Eisen and friends?  The goal is to topple the United States of America.  One Nation under God.  If you topple America, you topple the world. There will be no free nation where you can retreat. https://t.co/HkLLN24ajB",ted cruz law color revolut design norm eisen friend goal toppl unit state america nation god toppl america toppl free nation retreat
12,"🌍🌏Students participating from 21 different countries spread over 5 continents join a BKC research sprint exploring digital transformation in times of crisis, with a focus on education. 

Learn more about the global cohort and 10-week sprint: 
https://t.co/ldRgC6HyVo",student particip countri spread contin join bkc sprint explor digit transform time crisi focus educ learn global cohort sprint
13,"🗓️ Save the Date! November 10 @ 4 pm ET 🗓️

BKC Executive Director @ugasser and @jpalfrey will join @hlslib to discuss their new book, ""The Connected Parent: An Expert Guide to Parenting in a Digital World."" Learn more and register: https://t.co/hvNfZbU6Yv",save novemb bkc execut director join discuss book connect parent expert guid parent digit learn regist
14,🥳🥳 Meet our 19 exceptional @Harvard undergraduate and graduate Assembly Student Fellows joining us this year for a fully-virtual program tackling disinformation on online platforms. Learn more about the fellowship and student fellows: https://t.co/kkIPfFB5St,meet undergradu graduat assembl student fellow join year fulli virtual program tackl disinform onlin platform learn fellowship student fellow
15,In Progress: Scheduled maintenance is currently in progress. We will provide updates as necessary. https://t.co/077eNDmQlf,progress schedul mainten progress updat
16,Completed: The scheduled maintenance has been completed. https://t.co/NW9HA7tPju,complet schedul mainten complet
17,Completed: The work is completed. https://t.co/C7c3IkEGgS,complet work complet
18,"Scheduled (Oct 29, 2020, 11:00 EDT): Users may experience a brief interruption today around noon/early afternoon. If so please wait a few minutes and try login in again. Thank you for your patience. https://t.co/slR1GtJRIo",schedul oct edt user experi interrupt today earli afternoon wait minut login patienc
19,Investigating: Canvas is currently experiencing issues. HUIT is aware and actively investigating the problem. https://t.co/3RSGCJD2fo,investig canva experienc issu huit awar activ investig problem
20,In Progress: Scheduled maintenance is currently in progress. We will provide updates as necessary. https://t.co/PyePuvjWQi,progress schedul mainten progress updat
21,"Scheduled (Oct 29, 2020, 12:00 EDT): Users may experience a brief interruption today around noon/early afternoon. If so please wait a few minutes and try login in again. Thank you for your patience. https://t.co/3davtmHeHZ",schedul oct edt user experi interrupt today earli afternoon wait minut login patienc
22,@PhilKabler I don't have the option to work from home. Other than my work hours I am home when the map goes Harvard red. I don't look at the DHHR map.,option work work hour map red dhhr map
23,@JoEllenZacks @WV_DHHR My home page is the Harvard map. I check the school map when it makes it into the paper.,map check school map paper
24,Love you guys so much. Keep this same energy with my Harvard tuition😘❤️,love guy energi tuition
25,"The Center for Jewish Studies, Harvard University, is pleased to announce the 2021-2022 Daniel Jeremy Silver Fellowship. For more information and to apply, see https://t.co/sXw46v10EM. https://t.co/eHo244VMKm",center jewish studi daniel jeremi silver fellowship appli
26,"The CJS is pleased to announce the 2021-22 Harry Starr Fellowship in Judaica. For more information and to apply, see https://t.co/sXw46v10EM. https://t.co/IU0xVxezNO",cjs harri starr fellowship judaica appli
27,Learn how #negotiating teams can make wiser joint decisions and get better deals. https://t.co/TbgLF88ucg,learn negoti team wiser joint decis deal
28,Beware the common tendency to concede too much to those who appear (but may not actually be) angry or stern. https://t.co/CNln8o9ZuZ,bewar common tendenc conced angri stern
29,Research suggests that seemingly small decisions by potential mentors can lead to #discrimination toward minorities and females. https://t.co/h0d133OfcR,small decis mentor lead discrimin minor femal
30,Not everyone understands the best process when it comes to #negotiation skills.  https://t.co/y1XGY8aGqC,understand process negoti skill
31,"How can you make the most of integrative #negotiations, creating as much value as possible to then divide? Here are three guidelines from experts. https://t.co/DpNmjcUlIF",integr negoti creat divid guidelin expert
32,Negotiating Skills and #Negotiation Techniques from Successful Negotiation Examples – 3 Tips from Beyond Reason https://t.co/cSRFrEJwWt,negoti skill negoti techniqu negoti
33,Protecting your negotiation from unwanted demands https://t.co/w4KqZGWSNB https://t.co/oulgLVc0ad,protect negoti unwant demand
34,Find out how you can move beyond competitive #negotiating strategies to implement a win-win negotiation strategy. https://t.co/z4uA5JjcHG,competit negoti strategi implement win win negoti strategi
35,Effective negotiators try to discover constraints and help the other party overcome them rather than dismiss them as irrational. https://t.co/owK43BHY03,negoti discov constraint parti overcom dismiss irrat
36,It’s tempting to respond to a demand for #renegotiations with moralistic objections. Such responses are rarely effective. https://t.co/oFlbYAz4Yx,tempt respond demand renegoti moralist object respons rare
37,"By remaining vigilant about #negotiating in good faith, you can emerge from the shadow cast by sunk costs. https://t.co/H2edu7w159",remain vigil negoti good faith emerg shadow cast sunk cost
38,Building trust and rapport in #negotiation using body language https://t.co/CNln8o9ZuZ https://t.co/d3kUn4aX9H,build trust rapport negoti bodi languag
39,This advice from hostage negotiators can help you defuse tensions to all parties’ satisfaction. https://t.co/VDN3uAIN7d,advic hostag negoti defus tension parti satisfact
40,How to increase the facilitative nature of #divorce negotiations in traditionally competitive realms https://t.co/Z7RhBanzl1,increas facilit natur divorc negoti tradit competit realm
41,"Like it or not, you are a negotiator … Everyone negotiates something every day. 

Now find out how to get better at it.  https://t.co/iw5NnmSKdu",negoti negoti day
42,Irrationality in Negotiations: How to Negotiate the Impossible https://t.co/owK43BHY03 https://t.co/NJTFyQXMX7,irrate negoti negoti imposs
43,Apple’s apology for warranty policies in China provides an example of how to overcome cultural barriers in communication. https://t.co/0oUe65kC4Z,appl apolog warranti polici china overcom cultur barrier communic
44,How expressing emotion impacts the #bargaining process https://t.co/ICS0BLxrau,express emot impact bargain process
45,"Negotiators involved in high-stakes mergers and acquisitions typically come to the table armored in meticulously tailored apparel, but should they? https://t.co/EgsxXbPAHw",negoti involv high stake merger acquisit typic tabl armor meticul tailor apparel
46,Ethics in Negotiation: How to Avoid Deception in Employment Negotiations https://t.co/yxl3g1hajE https://t.co/WGjv6aIlaB,ethic negoti avoid decept employ negoti
47,The definition of negotiation and adapting your negotiation skills to different bargaining contexts https://t.co/zljqLDKKqQ,negoti adapt negoti skill bargain context
48,The best #negotiation training courses should be a joint effort between the trainers and the organization. https://t.co/5jIXYVkueF,negoti train joint effort trainer organ
49,The Mutual Gains Approach at the #Negotiation Table: Integrative Negotiations and the Negotiation Process https://t.co/FQKz9tL5vq,mutual gain approach negoti tabl integr negoti negoti process
50,Strategic #leadership often involves recognizing when you can make a better impact by teaming up with other leaders. https://t.co/VNqarMjOyF,strateg leadership involv recogn impact team leader
51,Approaching distributive #negotiations with creativity can preserve a relationship &amp; add value for both sides. https://t.co/FQKz9tL5vq,approach distribut negoti creativ preserv relationship add
52,3 Lessons about #ConflictResolution that we can learn from the Camp David Accords: https://t.co/K5I1yzCFg9,lesson conflictresolut learn camp david
53,Many #teambuilding exercises can actually exacerbate some of the pitfalls of working in teams. https://t.co/TbgLF88ucg,teambuild exercis exacerb pitfal work team
54,"Could you increase your starting #salary at a new job by $5,000? That's exactly what happened in this study. https://t.co/HuJPpy1AVL",increas start salari job studi
55,Behavior that negotiators often view as evidence of irrationality may in fact indicate something entirely different. https://t.co/owK43BHY03,behavior negoti view evid irrate fact
56,Bartering doesn’t need to be limited to onetime swaps of goods and services between virtual strangers. https://t.co/noe4Xe0qlI,barter limit onetim swap good servic virtual stranger
57,Don't miss these three guidelines for managing the effects of power in negotiation: https://t.co/Ap7xaBD0Pu,guidelin manag power negoti
58,How a #negotiation between New York City and its teachers union turned into a losing situation for both parties: https://t.co/o1W6qwmyxA,negoti york citi teacher union turn lose situat parti
59,These #negotiators chose to sacrifice hundreds of millions of dollars rather than reach agreement. https://t.co/o1W6qwmyxA,negoti chose sacrific dollar reach agreement
60,Women Negotiators and Barriers to the Bargaining Table https://t.co/h0d133OfcR https://t.co/QK7Kq0OgqY,women negoti barrier bargain tabl
61,Pro Tip: Don’t assume you’ll maintain your poise when a #negotiation gets tough.  https://t.co/tt29QU7JHD,pro assum maintain pois negoti tough
62,Find areas of potential value creation and value claiming by knowing your walk away options - and those of your counterpart. https://t.co/cSRFrEJwWt,area creation claim walk option counterpart
63,"In #negotiations, strive to bring fairness to the surface, so everyone will understand one another’s needs and wants. https://t.co/A7sNO9agCv",negoti strive bring fair surfac understand
64,Don't miss these 3 tips that can help ensure you emerge from the #mediation process with a great deal:  https://t.co/oMkUvw2OGA,ensur emerg mediat process great deal
65,Those who underestimate their ability to be competitive usually will choose to stay out of a negotiation. https://t.co/Pf0y5hBMwa,underestim abil competit choos stay negoti
66,"Like athletes seeking the home-field advantage, most people prefer to negotiate on their own territory.  https://t.co/qsqzHBAOoS",athlet seek field advantag peopl prefer negoti territori
67,Use your knowledge of biases as an influencing tool in negotiation. https://t.co/nXbsn7pGAm,knowledg bias influenc tool negoti
68,Is one #negotiation style “better” than another? Here's what you should know. https://t.co/P9D0lOyDb9 https://t.co/jgG6B7PeQD,negoti style
69,Research finds that those who approach #negotiations with a positive attitude and high expectations tend to perform well. https://t.co/thOFlyrCV2,approach negoti posit attitud high expect perform
70,Five key bargaining principles of a #negotiation strategy: https://t.co/0DWpTCnHmT https://t.co/7d47dTTTMD,key bargain principl negoti strategi
71,Your modeling of effective #negotiation behavior can motivate your coworkers to follow suit.  https://t.co/0dfjWmDRdy,model negoti behavior motiv cowork suit
72,Mediation isn't always without controversy. Here's why: https://t.co/uDxu9IuqRI https://t.co/ekWY1wLAi0,mediat controversi
73,Metaphors can reveal deeper meaning regarding how #negotiation parties view the process and their relationship to one another. https://t.co/zljqLDKKqQ,metaphor reveal deeper negoti parti view process relationship
74,A better understanding of cultural differences can improve our ability to understand counterparts from other cultures and work with them more effectively. https://t.co/oboJcOVQat,understand cultur improv abil understand counterpart cultur work
75,Find out why a negotiator needs to understand her counterpart’s interests and motivations.  https://t.co/JKS0zwd49n,negoti understand counterpart motiv
76,"When you don’t know your counterpart very well and suspect he may be deceiving you, it never hurts to ask for written verification. https://t.co/EEmeSsmM9U",counterpart suspect deceiv hurt written verif
77,"It almost always pays to maintain cordial relations with adversaries, even in the face of substantial disagreement. https://t.co/rNlx3m1Y7v",pay maintain cordial adversari face disagr
78,Discover 4 common cognitive and emotional traps that can exacerbate conflict - and find out how conflict resolution can help. https://t.co/6jdRj2lSQg,discov common cognit emot trap exacerb conflict conflict resolut
79,Minor concessions could inspire employers to reciprocate with flexibility on issues that matter more to you. https://t.co/9Cm6cuLURC,minor concess inspir employ reciproc flexibl issu matter
80,3 guidelines for creating value in negotiation https://t.co/DpNmjcUlIF,guidelin creat negoti
81,Coping with Difficult Coworkers https://t.co/JLj3TZon4Q https://t.co/fPkKaxfsgB,cope difficult cowork
82,Don't miss these 8 steps for coping with difficult counterparts who seem irrational at the #bargaining table. https://t.co/B4XHMgVJv9,step cope difficult counterpart irrat bargain tabl
83,"In #negotiations, strive to bring fairness to the surface, so everyone will understand one another’s needs and wants. https://t.co/A7sNO9agCv",negoti strive bring fair surfac understand
84,Have you felt the need to defend yourself during a #negotiation? Share your tips in the comments on the blog. https://t.co/w4KqZGWSNB,felt defend negoti share comment blog
85,"Managers often write off employees as “difficult people,” but are your employees saying the same about you? https://t.co/dgwsQFDaHH",manag write employe difficult peopl employe
86,Don't think you would lie during a job #negotiation? 73% of you might in this common interview scenario. https://t.co/yxl3g1hajE,lie job negoti common interview scenario
87,How to manage conflict at work through conflict resolution https://t.co/6jdRj24hrG,manag conflict work conflict resolut
88,Efo wey go Harvard 😋 https://t.co/CP2qBxFh2X,efo wey
89,"Planning to be a China Scholar? Apply for Institute of Chinese Studies-Harvard Yenching Institute (ICS-HYI) Joint Scholarship for Doctoral Research. Two scholarships of five years duration, are awarded each year to selected doctoral candidates. Details at: https://t.co/qtLZlcWYWb https://t.co/KxwTa0HJpI",plan china scholar appli institut chines studi yench institut hyi joint scholarship doctor scholarship year durat award year select doctor candid
90,Throwback from @HarvardDivinity days. It’s always about faith for me. https://t.co/cnKS6rhidW,throwback day faith
91,OMG! It worked for Harvard! https://t.co/c7UxvYZArl,omg work
92,#AI is one of the topics we should be having an increasing #public discussion about: https://t.co/Gtx4bXdUT8,topic increas public discuss
93,I JUST GOT ACCEPTED INTO HARVARD LAW SCHOOL!?!,accept hls law
94,"@PhilKabler Cabell County here.  In this house, we go out only as necessary (Dr, Grocer), wear masks, take extra care, avoid any gathering, and sanitize hands before we get home.  We've been red longer than anyone cares to admit. And, only refer to the Harvard map.",cabel counti hous grocer wear mask extra care avoid gather sanit hand red longer care admit refer map
95,"In the Fall 2020 Issue of #HarvardEdReview, @erikakitzmiller analyzes the reactions of teachers to district officials’ decision to close their traditionally managed public school and reopen it as a privately managed charter school. https://t.co/08vfJaZXwm https://t.co/t5f6T6DJMD https://t.co/V9W4KvyJxt",fall issu edreview analyz reaction teacher district offici decis close tradit manag public school reopen privat manag charter school
96,"The #HarvardEdReview has reopened its call for submissions! Please read the call for more details, including a special request for work on education in 2020—from the impact of the pandemic to how schools are teaching about the protests for racial justice. https://t.co/yyRTKjb7ot",edreview reopen submiss read includ special request work educ impact pandem school teach protest racial justic
97,"Save 30% on HEP books that examine politics and education policy, including @LeoECasey's new book, THE TEACHER INSURGENCY. View the fill list of titles: https://t.co/bF6XxSOhxO https://t.co/UbqrTstFVF",save hep book examin polit educ polici includ book teacher insurg view list titl
98,"In her study of privately managed charter schools, @erikakitzmiller considers one of the key but largely overlooked stakeholders in charter school reform: public school teachers. #HarvardEdReview https://t.co/08vfJaZXwm https://t.co/t5f6T6DJMD",studi privat manag charter school key overlook stakehold charter school reform public school teacher edreview
99,"In THE CHICANA/O/X DREAM, Gilberto Q. Conchas and @Nancy_Ace_PhD critique the educational policies and practices that systematically fail to champion Chicana/o/x success. https://t.co/lI0fmnxnZh",chicana dream gilberto concha critiqu educ polici practic systemat fail champion chicana
100,"ADOLESCENTS AT SCHOOL ""is a necessary text for pre- and in-service teachers, and all educators working to enact anti-oppressive pedagogies and practices in schools."" —@DrDorindaCA  https://t.co/v6rJz8UhGA https://t.co/Y07Rrxd9cx",adolesc school text pre servic teacher educ work enact anti oppress pedagogi practic school
101,"In the newest Voices in Education blog post, Irene A. Liefshitz argues that education researchers should learn to listen to teachers while they’re researching to “understand what and how teachers are learning.” https://t.co/C5AdtrQqzP",newest voic educ blog post iren liefshitz argu educ learn listen teacher understand teacher learn
102,"Today (10/29) at 4 PM ET, the authors of THE CHICANA/O/X DREAM, Gilberto Q. Conchas and @Nancy_Ace_PhD, will take part in a virtual book talk and panel discussion hosted by @gutman_library. See the list of panelists and register here: https://t.co/iGueQlVV3x https://t.co/6CIC7ivGzT",today author chicana dream gilberto concha virtual book talk panel discuss host list panelist regist
103,".@jackjenningsdc's book, PRESIDENTS, CONGRESS, AND THE PUBLIC SCHOOLS examines the evolution of federal education policy and outlines a bold and controversial vision for its future. See how you can recieve 30% off this title until 11/13/20: https://t.co/bF6XxSOhxO https://t.co/25DaJA3TEO",book presid congress public school examin evolut feder educ polici outlin bold controversi vision futur reciev titl
104,"@BostonGlobe @GlobeOpinion ""We are Harvard professors who belong to different political parties""

you guys got the one guy at harvard who's not a dem? 

you can tell a harvard man but you can't tell him much https://t.co/wAHW7C6uX4",professor belong polit parti guy guy dem man
105,‘I’m Absolutely Terrified’: International Students Fear a Trump Re-Election | News | The Harvard Crimson https://t.co/UxYKHtSg83,absolut terrifi intern student fear trump elect news crimson
106,@nataliemarissol damn thas crazy i just copped a 10mil mansion and graduated from harvard,damn thas crazi cop mansion graduat
107,"In my years as a Human Resource manager there were, sadly, several occasions where I had to investigate claims of sexual harassment.  Men, you can help stop sexist behavior.

Article Source: Harvard Management Tip of the Day https://t.co/AOwyFmXWaY",year human resourc manag sad occas investig claim sexual harass men sexist behavior articl sourc manag day
108,"Jared Kushner Asks Dad to Bribe His Way Into Electoral College 

Noting that Charles Kushner donated two and a half million dollars to Harvard before his son was accepted, Jared pointed out that his dad “might have to pony up more this time around.”

https://t.co/xqEI3uKClg",jare kushner dad bribe elector colleg charl kushner donat half dollar son accept jare point dad poni time
109,@YPractitioners 1. Harvard 2. John Hopkins ....15. Yale! Hahaha,john hopkin yale hahaha
110,"Ruben-- wish i lived in your district...I'd be voting for you brother! And your Harvard story cracked me up... talk about perseverance, you have it mister. keep pressure on, and wind that seat! join our Jason Crow on the Floor of the House. And thanks for ur service solider!!! https://t.co/iXbTqqXcTr",ruben live district vote brother stori crack talk persever mister pressur wind seat join jason crow floor hous servic solid
111,Harry Starr Fellowship in #Judaica at #Harvard for study of #Jews and #Judaism in #medieval period (ca. 800-1500 CE). Deadline to apply 14 January 2021. #medievaltwitter https://t.co/UWHSjb1Cbz,harri starr fellowship judaica studi jew judaism mediev period deadlin appli januari medievaltwitt
112,"GIVE ME A STRAIGHT OUT RACIST ANY DAY OF THE WEEK .
Black DEMS gave you the right to sprew this shit on line. Black DEMS walked into the U AL so you could walk I to Harvard. ALL UNDER DEMOCRATIC PRESIDENTS. You are a House Negro like AG, KY. At least he was straight up with his. https://t.co/458G7eUidy",straight racist day week black dem sprew shit black dem walk walk democrat presid hous negro straight
113,"@CowgirlWarrior @LourdesOvrAll @cletusyeetus1 @IvyShoots @murmalerm @bobx_akins Harvard isn’t fake. Neither was Pacific Western University, with three locations and many well known graduates, including Jin Tang, former executive of Microsoft China, and Bingu wa Murharika, the President of Malawi.",fake pacif western univers locat graduat includ jin tang execut microsoft china bingu murharika presid malawi
114,@LourdesOvrAll @cletusyeetus1 @CowgirlWarrior @IvyShoots @murmalerm @bobx_akins Lourdes: Them folks at Harvard are sexist idiots.,lourd folk sexist idiot
115,i do not go to harvard!!!!! https://t.co/OMXvcQogV0,
116,"30 minutes of Pure gold: A Step by Step Guide to Revenue Growth with Mark Roberge, Harvard Business School #Revenue #SaaS #Business #Sales #Marketing @markroberge @HarvardBiz https://t.co/y54zwYQnLE",minut pure gold step step guid revenu growth mark roberg hbs busi revenu saa busi sale market
117,"@MJHUSA @CorreaTate @washingtonpost Youngest person to ever obtain a college degree was an American Boy at the age of 10 years 4 months old. Michael Kearney.

The youngest person to graduate from Harvard University was a 15 year old girl. Eugenie de Silva.

An 8 year old certainly has the capacity to understand.",youngest person colleg degre american boy age year month michael kearney youngest person graduat year girl eugeni silva year capac understand
118,"1.53 Million Veterans Are Uninsured and 2 Million Can't Afford Care, New Harvard-Public Citizen Study Finds https://t.co/J82eoIYDKZ",veteran uninsur afford care public citizen studi
119,"@jessespector A tiny place in Harvard square had the best bacon egg and cheese English muffin sandwiches. 
Baconegger!! 

I worked there. I wasn’t a student. No brag here.",tini squar bacon egg chees english muffin sandwich baconegg work student brag
120,#Paris Read 150 subj till climax site:Harvard Prof Huntington sees clash between Islam &amp; West ModernWorld lessens it https://t.co/CWPlgWW2Ft,pari read subj till climax site prof huntington clash islam west modernworld lessen
121,Looking forward to this! #WomenInMedicine #WomenLeaders #MedTwitter @harvardmed @Harvard @JulieSilverMD https://t.co/glk6QQqiAE,forward womeninmedicin womenlead medtwitt
122,"This Friday at 12pm ET, join the Office for Diversity, Inclusion &amp; Belonging for a conversation between David Boies and Theodore Olson, as they look back on the landmark Bush v. Gore case before the US Supreme Court. https://t.co/OUax7MY5Sr",friday join offic divers inclus belong convers david boi theodor olson landmark bush gore case suprem court
123,“There are a lot of people in all age groups suffering for months from the virus — even among a large proportion of people with mild cases [of Covid-19]. The long-term consequences aren’t yet known.” - Harvard Chan's @BillHanage tells @RollingStone: https://t.co/YEBr0fHp8o,lot peopl age group suffer month virus proport peopl mild case long term chan
124,"Tomorrow at 4pm ET, join Harvard Chan School professor of nutrition and planetary health @chrisgolden05 as he discusses his new series, @NatGeo's Virus Hunters, with @postlive. https://t.co/NgxPmZ96Te",tomorrow join chan school professor nutrit planetari health discuss seri virus hunter
125,"Harvard Chan School scientists, including @mlipsitch, @HarvardChanDean, and others, share their stories of stress, exhaustion, anger, grief, gratitude, and soul-searching in the early days of the #COVID19 #pandemic. https://t.co/6PbtGmDsuf",chan school scientist includ share stori stress exhaust anger grief gratitud soul search earli day pandem
126,"""There’s no reason that a pandemic-response map should look like an election map.” Harvard Chan School's Benjamin Sommers on the #ACA, #COVID19 response, and the upcoming #election. https://t.co/QmJdnXg1zd",pandem respons map elect map chan school benjamin sommer aca respons upcom elect
127,"“There’s a crisis in access to dental care in #Minnesota, and really [in] every state."" - Sheila Riggs MS ‘87, DMSc '91 serves as chairwoman of the department of primary dental care at the University of Minnesota’s School of Dentistry. #HarvardServes https://t.co/HagwBJUltO https://t.co/LYzDYbaIah",crisi access dental care minnesota state sheila rigg dmsc serv chairwoman depart primari dental care univers minnesota school dentistri serv
128,"On average, US #COVID19 mortality rates among Black, Latinx, and American Indian people are 3x higher than white people - but for working age adults, that disparity is much starker. Harvard Chan's Nancy Krieger explains why. @PublicHealth https://t.co/aejSRP2cOU",averag mortal rate black latinx american indian peopl higher white peopl work age adult dispar starker chan nanci krieger explain
129,"People under the age of 30 have voted early favor Democrats by 30 points, according to TargetSmart’s model. Similarly, a Harvard Youth poll out shows Biden’s advantage with voters 18 to 29 has slightly increased but will engagement continue post election?",peopl age vote earli favor democrat point targetsmart model youth poll biden advantag voter increas engag continu post elect
130,"Believing their ability to live, work, and study in the United States is in jeopardy, several of Harvard’s international students say they are afraid of the prospect that President Donald J. Trump may be re-elected less than a week from the end of voting. https://t.co/0bmQ56lUvc",abil live work studi unit state jeopardi intern student afraid prospect presid donald trump elect week vote
131,"Op Ed from @CrimsonOpinion: ""If Harvard were serious about confronting the legacy of slavery, it would give Lanier the daguerreotypes immediately and ask what it could learn from her, rather than fighting her in court."" https://t.co/dubqXMWGv0",confront legaci slaveri lanier daguerreotyp learn fight court
132,Harvard filed an opposition Thursday in response to Chemistry professor Charles M. Lieber’s lawsuit alleging Harvard is contractually obligated to pay for his legal defense against federal fraud charges. https://t.co/fjPR9toN5g,file opposit thursday respons chemistri professor charl lieber lawsuit alleg contractu oblig pay legal defens feder fraud charg
133,"From @thecrimsonarts: Named the 'most adventurous downtown playwright of her generation' by the New York Times, Young Jean Lee offered a session of her playwriting workshop in partnership with Harvard’s Theater, Dance, &amp; Media department on Friday, Oct. 9. https://t.co/sWI3UewIMF",amost adventur downtown playwright generat york time young jean lee offer session playwrit workshop partnership theater danc media depart friday oct
134,Boston Healthcare for the Homeless’s founding physician James O’Connell and Y2Y Harvard Square Shelter data and program evaluation manager Kylie Nassif Blizzard discussed coronvirus’s dire impact on the Boston’s homeless population in a webinar Wednesday. https://t.co/jB5UxSDERn,boston healthcar homeless physician jame connel squar shelter data program evalu manag kyli nassif blizzard discuss coronvirus dire impact boston homeless popul webinar wednesday
135,"The Harvard Graduate School of Design announced it has restructured its Masters of Design Studies Program, raising concerns over how administrators came to the decision and whether the shift will dilute the degree’s educational value. https://t.co/megLMakLrj",hgsas design restructur master design studi program rais administr decis shift dilut degre educ
136,"Harvard Athletics has spared its personnel and 42 NCAA Division I programs from cuts as it drastically reduces operations in the face of the COVID-19 pandemic, Director of Athletics Erin McDermott said in a Tuesday interview. https://t.co/aeP4dBHmZz",athlet spare personnel ncaa divis program cut drastic reduc oper face pandem director athlet erin mcdermott tuesday interview
137,"Harvard students have confronted mail delays — along with signature rejections, defective envelopes, and other obstacles to mail-in voting — amid a pandemic-spurred flood of absentee ballot requests that's overwhelming local elections officials nationwide. https://t.co/DeLmtsGTU3",student confront mail delay signatur reject defect envelop obstacl mail vote amid pandem spur flood absente ballot request overwhelm local elect offici nationwid
138,"Get your organic 5-A-Day

Harvard Health https://t.co/Fiw7j9j7xF https://t.co/snX5UAzG27",organ health
139,"“On October 5th, the Harvard Center for Population and Development Studies released a working paper that examined why the per-capita mortality rate from covid-19 is five times higher in America than it is in Germany.” https://t.co/1JLTUEjseK",octob center popul develop studi releas work paper examin capita mortal rate time higher america germani
140,The Story Behind Jared Kushner’s Curious Acceptance Into Harvard — ProPublica https://t.co/qtA4qqUCIr,stori jare kushner curious accept propublica
141,@C6URTNEY @vNogi This I understand and believe does happen. Just tried to research why it happeneds and couldn't find anything but still states that PoC are less likely to be hired but according to Harvard change is happening and thats good news. 👍🏼,understand state poc hire good news
142,"@beardedstoner Counterpoint: Joshua Hawley, former Missouri AG, author of a biography of Theodore Roosevelt, alum of both Harvard and Stanford, slightly dumber than a below average doorknob.",counterpoint joshua hawley missouri author biographi theodor roosevelt alum stanford dumber averag doorknob
143,And catch up on the latest in our symposium: https://t.co/GQjNAn2FcD,catch latest symposium
144,"""Short-term, limited-duration insurance (STLDI) may be here to stay despite legal attacks, poor branding, and a potential Democratic victory in the upcoming Presidential election,"" @AbeSutton writes. https://t.co/Fj4vRIwKej",short term limit durat insur stldi stay legal attack brand democrat victori upcom presidenti elect write
145,"Don't miss ""Nudging Organ Donation: Tools to Encourage Organ Availability"" — Nov. 6 at 12 pm, with @CassSunstein, Alexandra Glazier, @PhilW_lt_n &amp; @bsoxlaw. Register now! https://t.co/Usrcwt0vYk",nudg organ donat tool encourag organ nov alexandra glazier regist
146,"New from @AbeSutton: Short-Term, Limited-Duration Insurance May Be Here to Stay https://t.co/Fj4vRIwKej",short term limit durat insur stay
147,"So far, we've published an introduction, with an overview of the issues: https://t.co/EPqwuyBQCv",publish introduct overview issu
148,"Happening now! Can Psychedelics Help Save America? with @MasonMarksMD, @pzettler, @LarissaJMaier, Ifetayo Harvey of @DrugPolicyOrg, and @DustinMarlan. We'll live tweet the highlights in this thread. Follow along and join the conversation using #PsyAm.
https://t.co/lcsDdZUsJQ",psychedel save america ifetayo harvey live tweet highlight thread join convers psyam
149,Background reading -- our companion blog symposium. Check it out! https://t.co/GQjNAn2FcD #PsyAm,background read companion blog symposium check psyam
